"","ran1","Var2","Freq","Genotype"
"1","T1","1721-A",1,"1721"
"7","T3","1721-B",1,"1721"
"10","T2","1721-C",1,"1721"
"13","T1","1721-D",1,"1721"
"18","T2","1721-F",1,"1721"
"22","T2","1721-G",1,"1721"
"28","T4","1721-H",1,"1721"
"31","T3","1721-I",1,"1721"
"33","T1","1721-J",1,"1721"
"39","T3","1721-K",1,"1721"
"44","T4","1721-L",1,"1721"
"48","T4","1721-M",1,"1721"
"51","T3","1721-N",1,"1721"
"56","T4","1721-O",1,"1721"
"57","T1","1722-A",1,"1722"
"62","T2","1722-B",1,"1722"
"65","T1","1722-C",1,"1722"
"70","T2","1722-D",1,"1722"
"76","T4","1722-E",1,"1722"
"79","T3","1722-G",1,"1722"
"82","T2","1722-H",1,"1722"
"85","T1","1722-I",1,"1722"
"91","T3","1722-J",1,"1722"
"94","T2","1722-K",1,"1722"
"99","T3","1722-L",1,"1722"
"104","T4","1722-M",1,"1722"
"105","T1","1722-N",1,"1722"
"112","T4","1722-O",1,"1722"
"113","T1","1723-B",1,"1723"
"119","T3","1723-D",1,"1723"
"121","T1","1723-F",1,"1723"
"126","T2","1723-G",1,"1723"
"128","T4","1723-G",1,"1723"
"131","T3","1723-K",1,"1723"
"133","T1","1723-L",1,"1723"
"138","T2","1723-M",1,"1723"
"144","T4","1723-N",1,"1723"
"147","T3","1723-O",1,"1723"
"152","T4","1725-B",1,"1725"
"155","T3","1725-C",1,"1725"
"157","T1","1725-G",1,"1725"
"160","T4","1725-G",1,"1725"
"162","T2","1725-H",1,"1725"
"165","T1","1725-J",1,"1725"
"171","T3","1726-B",1,"1726"
"173","T1","1726-D",1,"1726"
"178","T2","1726-E",1,"1726"
"183","T3","1726-G",1,"1726"
"186","T2","1726-K",1,"1726"
"189","T1","1726-L",1,"1726"
"196","T4","1726-M",1,"1726"
"200","T4","1726-N",1,"1726"
"203","T3","1727-A",1,"1727"
"206","T2","1727-B",1,"1727"
"211","T3","1727-C",1,"1727"
"215","T3","1727-D",1,"1727"
"219","T3","1727-E",1,"1727"
"224","T4","1727-F",1,"1727"
"225","T1","1727-G",1,"1727"
"230","T2","1727-H",1,"1727"
"233","T1","1727-I",1,"1727"
"239","T3","1727-J",1,"1727"
"243","T3","1727-K",1,"1727"
"245","T1","1727-L",1,"1727"
"252","T4","1727-M",1,"1727"
"254","T2","1727-N",1,"1727"
"260","T4","1727-O",1,"1727"
"263","T3","1728-A",1,"1728"
"266","T2","1728-B",1,"1728"
"270","T2","1728-C",1,"1728"
"273","T1","1728-D",1,"1728"
"278","T2","1728-E",1,"1728"
"281","T1","1728-G",1,"1728"
"287","T3","1728-H",1,"1728"
"292","T4","1728-I",1,"1728"
"296","T4","1728-J",1,"1728"
"297","T1","1728-L",1,"1728"
"303","T3","1728-N",1,"1728"
"308","T4","1728-O",1,"1728"
"309","T1","1729-A",1,"1729"
"315","T3","1729-B",1,"1729"
"319","T3","1729-D",1,"1729"
"321","T1","1729-E",1,"1729"
"327","T3","1729-G",1,"1729"
"332","T4","1729-J",1,"1729"
"334","T2","1729-K",1,"1729"
"338","T2","1729-M",1,"1729"
"344","T4","1729-O",1,"1729"
"345","T1","1730-G",1,"1730"
"352","T4","1731-A",1,"1731"
"354","T2","1731-B",1,"1731"
"357","T1","1731-E",1,"1731"
"361","T1","1731-G",1,"1731"
"368","T4","1731-H",1,"1731"
"371","T3","1731-I",1,"1731"
"376","T4","1731-J",1,"1731"
"378","T2","1731-K",1,"1731"
"383","T3","1731-L",1,"1731"
"387","T3","1731-M",1,"1731"
"390","T2","1731-O",1,"1731"
"394","T2","1732-A",1,"1732"
"400","T4","1732-B",1,"1732"
"401","T1","1732-C",1,"1732"
"405","T1","1732-D",1,"1732"
"409","T1","1732-E",1,"1732"
"415","T3","1732-F",1,"1732"
"420","T4","1732-G",1,"1732"
"422","T2","1732-H",1,"1732"
"428","T4","1732-I",1,"1732"
"432","T4","1732-K",1,"1732"
"434","T2","1732-L",1,"1732"
"439","T3","1732-M",1,"1732"
"443","T3","1732-N",1,"1732"
"446","T2","1732-O",1,"1732"
"451","T3","1733-A",1,"1733"
"453","T1","1733-C",1,"1733"
"459","T3","1733-E",1,"1733"
"463","T3","1733-G",1,"1733"
"466","T2","1733-H",1,"1733"
"469","T1","1733-K",1,"1733"
"474","T2","1733-L",1,"1733"
"480","T4","1733-M",1,"1733"
"484","T4","1733-O",1,"1733"
"488","T4","1734-A",1,"1734"
"492","T4","1734-B",1,"1734"
"495","T3","1734-C",1,"1734"
"497","T1","1734-D",1,"1734"
"502","T2","1734-E",1,"1734"
"507","T3","1734-G",1,"1734"
"509","T1","1734-H",1,"1734"
"516","T4","1734-J",1,"1734"
"518","T2","1734-K",1,"1734"
"522","T2","1734-L",1,"1734"
"525","T1","1734-N",1,"1734"
"531","T3","1734-O",1,"1734"
"535","T3","1735-A",1,"1735"
"539","T3","1735-C",1,"1735"
"543","T3","1735-D",1,"1735"
"544","T4","1735-D",1,"1735"
"545","T1","1735-E",1,"1735"
"552","T4","1735-F",1,"1735"
"553","T1","1735-H",1,"1735"
"560","T4","1735-I",1,"1735"
"562","T2","1735-J",1,"1735"
"566","T2","1735-L",1,"1735"
"572","T4","1735-M",1,"1735"
"574","T2","1735-N",1,"1735"
"577","T1","1735-O",1,"1735"
"581","T1","1736-A",1,"1736"
"586","T2","1736-B",1,"1736"
"592","T4","1736-C",1,"1736"
"596","T4","1736-E",1,"1736"
"599","T3","1736-F",1,"1736"
"601","T1","1736-H",1,"1736"
"605","T1","1736-J",1,"1736"
"611","T3","1736-N",1,"1736"
"614","T2","1736-O",1,"1736"
"618","T2","1737-A",1,"1737"
"623","T3","1737-B",1,"1737"
"626","T2","1737-C",1,"1737"
"631","T3","1737-D",1,"1737"
"633","T1","1737-E",1,"1737"
"637","T1","1737-F",1,"1737"
"642","T2","1737-G",1,"1737"
"644","T4","1737-G",1,"1737"
"645","T1","1737-H",1,"1737"
"652","T4","1737-I",1,"1737"
"655","T3","1737-J",1,"1737"
"660","T4","1737-K",1,"1737"
"664","T4","1737-L",1,"1737"
"666","T2","1737-M",1,"1737"
"671","T3","1737-N",1,"1737"
"673","T1","1737-O",1,"1737"
"677","T1","1738-A",1,"1738"
"684","T4","1738-B",1,"1738"
"685","T1","1738-D",1,"1738"
"689","T1","1738-E",1,"1738"
"695","T3","1738-F",1,"1738"
"698","T2","1738-G",1,"1738"
"703","T3","1738-I",1,"1738"
"707","T3","1738-J",1,"1738"
"710","T2","1738-K",1,"1738"
"716","T4","1738-L",1,"1738"
"720","T4","1738-M",1,"1738"
"722","T2","1738-N",1,"1738"
"728","T4","1739-B",1,"1739"
"729","T1","1739-C",1,"1739"
"731","T3","1739-C",1,"1739"
"734","T2","1739-D",1,"1739"
"738","T2","1739-F",1,"1739"
"744","T4","1739-G",1,"1739"
"747","T3","1739-H",1,"1739"
"749","T1","1739-K",1,"1739"
"754","T2","1739-L",1,"1739"
"760","T4","1739-N",1,"1739"
"761","T1","1741-A",1,"1741"
"765","T1","1741-C",1,"1741"
"772","T4","1741-F",1,"1741"
"776","T4","1741-H",1,"1741"
"778","T2","1741-J",1,"1741"
"783","T3","1741-L",1,"1741"
"787","T3","1741-M",1,"1741"
"790","T2","1741-N",1,"1741"
"793","T1","1743-B",1,"1743"
"797","T1","1743-D",1,"1743"
"803","T3","1743-E",1,"1743"
"807","T3","1743-G",1,"1743"
"812","T4","1743-H",1,"1743"
"813","T1","1743-I",1,"1743"
"818","T2","1743-J",1,"1743"
"824","T4","1743-L",1,"1743"
"826","T2","1743-M",1,"1743"
"831","T3","1743-O",1,"1743"
"833","T1","1745-A",1,"1745"
"838","T2","1745-D",1,"1745"
"844","T4","1745-G",1,"1745"
"847","T3","1745-H",1,"1745"
"851","T3","1745-I",1,"1745"
"853","T1","1745-J",1,"1745"
"860","T4","1745-K",1,"1745"
"862","T2","1745-M",1,"1745"
"868","T4","1745-N",1,"1745"
"871","T3","1747-A",1,"1747"
"876","T4","1747-B",1,"1747"
"877","T1","1747-C",1,"1747"
"883","T3","1747-D",1,"1747"
"888","T4","1747-E",1,"1747"
"889","T1","1747-F",1,"1747"
"893","T1","1747-H",1,"1747"
"897","T1","1747-J",1,"1747"
"902","T2","1747-K",1,"1747"
"906","T2","1747-L",1,"1747"
"912","T4","1747-O",1,"1747"
"915","T3","1748-A",1,"1748"
"920","T4","1748-B",1,"1748"
"921","T1","1748-C",1,"1748"
"925","T1","1748-D",1,"1748"
"931","T3","1748-E",1,"1748"
"934","T2","1748-F",1,"1748"
"937","T1","1748-G",1,"1748"
"943","T3","1748-H",1,"1748"
"948","T4","1748-J",1,"1748"
"949","T1","1748-K",1,"1748"
"954","T2","1748-L",1,"1748"
"958","T2","1748-M",1,"1748"
"964","T4","1748-N",1,"1748"
"967","T3","1748-O",1,"1748"
"970","T2","1750-B",1,"1750"
"974","T2","1750-C",1,"1750"
"977","T1","1750-D",1,"1750"
"984","T4","1750-F",1,"1750"
"988","T4","1750-H",1,"1750"
"991","T3","1750-J",1,"1750"
"993","T1","1750-L",1,"1750"
"999","T3","1750-N",1,"1750"
"1002","T2","1751-A",1,"1751"
"1003","T3","1751-A",1,"1751"
"1005","T1","1751-D",1,"1751"
"1010","T2","1751-E",1,"1751"
"1013","T1","1751-G",1,"1751"
"1018","T2","1751-J",1,"1751"
"1024","T4","1751-M",1,"1751"
"1028","T4","1752-A",1,"1752"
"1030","T2","1752-B",1,"1752"
"1033","T1","1752-D",1,"1752"
"1038","T2","1752-G",1,"1752"
"1044","T4","1752-H",1,"1752"
"1045","T1","1752-I",1,"1752"
"1051","T3","1752-J",1,"1752"
"1055","T3","1752-P",1,"1752"
"1057","T1","1753-A",1,"1753"
"1062","T2","1753-C",1,"1753"
"1066","T2","1753-D",1,"1753"
"1069","T1","1753-E",1,"1753"
"1076","T4","1753-F",1,"1753"
"1080","T4","1753-G",1,"1753"
"1081","T1","1753-H",1,"1753"
"1088","T4","1753-I",1,"1753"
"1089","T1","1753-J",1,"1753"
"1095","T3","1753-K",1,"1753"
"1098","T2","1753-L",1,"1753"
"1104","T4","1753-M",1,"1753"
"1107","T3","1753-N",1,"1753"
"1111","T3","1753-O",1,"1753"
"1113","T1","1755-A",1,"1755"
"1117","T1","1755-D",1,"1755"
"1123","T3","1755-E",1,"1755"
"1128","T4","1755-F",1,"1755"
"1131","T3","1755-G",1,"1755"
"1134","T2","1755-K",1,"1755"
"1140","T4","1755-L",1,"1755"
"1141","T1","1755-M",1,"1755"
"1146","T2","1755-N",1,"1755"
"1149","T1","1757-A",1,"1757"
"1154","T2","1757-B",1,"1757"
"1160","T4","1757-D",1,"1757"
"1163","T3","1757-F",1,"1757"
"1166","T2","1757-H",1,"1757"
"1169","T1","1757-K",1,"1757"
"1175","T3","1757-L",1,"1757"
"1178","T2","1757-M",1,"1757"
"1184","T4","1757-N",1,"1757"
"1185","T1","1757-O",1,"1757"
"1192","T4","1758-A",1,"1758"
"1193","T1","1758-B",1,"1758"
"1199","T3","1758-C",1,"1758"
"1204","T4","1758-D",1,"1758"
"1206","T2","1758-E",1,"1758"
"1211","T3","1758-F",1,"1758"
"1216","T4","1758-H",1,"1758"
"1218","T2","1758-J",1,"1758"
"1221","T1","1758-L",1,"1758"
"1225","T1","1758-O",1,"1758"
"1229","T1","1759-A",1,"1759"
"1234","T2","1759-B",1,"1759"
"1240","T4","1759-D",1,"1759"
"1243","T3","1759-E",1,"1759"
"1247","T3","1759-F",1,"1759"
"1249","T1","1759-G",1,"1759"
"1255","T3","1759-H",1,"1759"
"1260","T4","1759-I",1,"1759"
"1264","T4","1759-J",1,"1759"
"1266","T2","1759-K",1,"1759"
"1272","T4","1759-L",1,"1759"
"1274","T2","1759-M",1,"1759"
"1277","T1","1759-O",1,"1759"
